"","participante","edad","sexo","Nivel","calificacion_1","calificacion_2","calificacion_3","calificacion_4","calificacion_5","promedio","emo_aca_1","emo_aca_2","emo_aca_3","emo_aca_4","emo_aca_5","emo_aca_6","emo_aca_7","emo_aca_8","emo_aca_9","emo_aca_10","emo_aca_11","emo_aca_12"
"1",1,19,"Femenino",201,4.8,3.4,4.6,3.8,3.6,NA,4,2,3,2,3,2,4,2,3,2,3,3
"2",2,20,"Femenino",201,4.7,4,3.2,3.2,3.3,NA,4,1,3,3,4,1,2,3,4,1,3,4
"3",3,20,"Femenino",201,3.9,4.9,4.8,4.1,NA,NA,4,3,3,4,3,3,4,2,3,4,3,3
"4",4,20,"Femenino",201,3.8,5.3,4.8,3.3,3.8,NA,3,3,2,3,2,4,3,3,3,2,3,4
"5",5,24,"Femenino",302,5,6.5,6.3,5.6,5,NA,3,1,4,4,4,1,4,1,4,2,4,4
"6",6,19,"Femenino",201,3.7,3,4.7,5.2,3.7,NA,3,1,3,4,4,1,3,2,3,1,2,5
"7",7,27,"Femenino",201,5.5,3.5,5.8,3.9,4,NA,5,1,4,2,4,1,4,1,4,1,4,2
"8",8,21,"Femenino",202,1,5.7,3.2,4,3.5,NA,3,2,2,5,3,2,2,2,3,3,3,4
"9",9,23,"Femenino",301,3.4,5.3,6.8,4.2,3.8,NA,2,1,2,4,4,1,5,3,3,2,2,5
"10",10,20,"Femenino",301,6.2,4,4.2,NA,NA,NA,3,2,3,4,3,2,3,2,3,4,3,4
"11",11,20,"Masculino",301,3.6,4.3,6,5.9,6.5,NA,4,1,3,4,3,3,2,3,2,3,2,3
"12",12,22,"Masculino",201,6.4,5.7,5.1,6.7,6.7,NA,4,3,4,2,3,3,4,3,4,2,4,5
"13",13,20,"Femenino",201,5.6,3.8,3.8,3.4,2.5,NA,4,1,4,4,3,3,3,1,2,1,1,1
"14",14,20,"Femenino",201,3.4,4,3,5.3,5.3,NA,4,2,3,3,3,1,3,2,3,2,2,3
"15",15,20,"Femenino",301,3.8,4.4,5.6,6.5,5.6,NA,4,2,3,4,4,2,4,3,4,2,2,3
"16",16,20,"Femenino",301,NA,3,NA,NA,NA,NA,3,1,3,3,3,1,3,2,3,2,2,3
"17",17,23,"Femenino",301,3,3.4,5.2,3.8,5.5,NA,3,4,2,5,2,4,3,4,3,3,2,5
"18",18,21,"Masculino",201,2.7,3.6,3.9,3,2.7,NA,4,1,2,1,3,1,2,1,3,1,3,5
"19",19,20,"Femenino",201,4.4,4.3,4.3,6,4,NA,3,3,3,5,5,3,5,3,3,3,2,5
"20",20,21,"Femenino",301,3.3,4.3,2.6,5,5.3,NA,3,1,3,4,4,1,4,1,3,1,4,4
"21",21,20,"Femenino",301,5.4,5.5,4.2,4.1,6.2,NA,3,1,3,2,4,2,3,1,2,2,4,3
"22",22,23,"Femenino",201,5.4,4.5,4.5,4,4.2,NA,5,2,4,3,4,2,3,1,4,1,4,3
"23",23,20,"Femenino",301,3.8,3.4,4.8,6.8,3.8,NA,3,2,3,2,3,2,3,2,3,1,3,3
"24",24,22,"Femenino",301,2.8,3.7,4.8,3,3.9,NA,3,2,2,4,2,1,3,4,2,3,4,4
"25",25,24,"Masculino",301,NA,NA,NA,NA,NA,NA,4,1,3,2,4,1,4,1,3,1,3,3
"26",26,21,"Femenino",201,5.7,3.2,4.5,3.6,5,NA,4,1,4,1,4,2,3,2,4,1,5,3
"27",27,21,"Femenino",301,5.6,5.3,3.9,3.7,6.7,NA,3,2,3,3,2,2,2,3,3,2,3,4
"28",28,19,"Femenino",201,6.1,4.2,5.1,5,3.3,NA,4,1,3,3,4,1,4,1,3,2,5,2
"29",29,19,"Femenino",201,3.1,4.6,2.3,6.5,4.3,NA,5,1,3,3,4,1,5,1,4,1,3,3
"30",30,24,"Femenino",302,7,4.9,4.4,4.7,NA,NA,3,1,2,3,2,1,3,1,3,1,2,4
"31",31,19,"Femenino",201,5.9,6.3,5.3,4.2,4.4,NA,4,1,3,2,3,1,3,3,4,1,3,2
"32",32,21,"Femenino",201,5,6.2,4,5.4,4.4,NA,4,3,3,4,4,4,3,3,3,3,2,4
"33",33,20,"Masculino",102,3.2,3.4,2.8,4,2.6,NA,2,4,2,5,5,4,2,3,2,4,2,4
"34",34,19,"Femenino",201,4.2,3.3,4.2,3.2,3.8,NA,4,2,3,2,3,1,4,2,3,1,3,4
"35",35,39,"Femenino",201,3,4.1,3.6,4.1,3.8,NA,5,1,3,3,4,1,3,1,3,1,4,3
"36",36,21,"Masculino",302,4.4,4.4,6.1,5.7,NA,NA,3,1,3,2,3,1,3,2,3,1,1,3
"37",37,19,"Femenino",201,3.9,3.9,2.8,4.8,NA,NA,4,1,4,3,4,1,3,1,4,2,3,3
"38",38,21,"Femenino",201,5.2,4.5,5.6,4,5.7,NA,2,2,2,4,3,2,3,3,3,4,4,3
"39",39,20,"Femenino",201,3.1,3.9,3.3,3.3,3.4,NA,2,2,2,5,1,3,1,5,2,4,1,5
"40",40,21,"Femenino",301,4,4,3.4,4,1.4,NA,4,1,4,1,3,1,3,1,4,1,3,1
"41",41,39,"Masculino",402,NA,NA,NA,NA,NA,NA,4,1,3,4,4,2,3,2,4,5,3,5
"42",42,33,"Femenino",201,NA,NA,NA,NA,NA,NA,3,1,3,4,3,1,3,1,3,1,2,2
"43",43,22,"Masculino",301,6.2,0,4.1,3.1,2.1,NA,3,2,1,2,2,4,1,4,2,3,4,4
"44",44,20,"Femenino",201,3.3,3.5,3.9,3.3,3.6,NA,4,2,3,4,3,2,2,2,3,1,3,2
"45",45,21,"Femenino",201,7,4.1,3.9,3.8,3,NA,4,2,4,4,4,1,4,3,2,2,3,5
"46",46,22,"Masculino",201,3.5,5.2,4.4,4.3,3.4,NA,4,2,3,3,3,2,3,3,4,2,3,3
"47",47,23,"Femenino",302,5.4,NA,3.5,NA,5,NA,4,1,4,4,3,1,4,2,5,1,3,3
"48",48,20,"Femenino",301,4.8,3.8,4.4,6,5.1,NA,3,1,3,4,3,1,3,1,4,1,3,2
"49",49,21,"Masculino",201,1,4.5,3.5,3.1,3.3,NA,3,3,2,2,3,2,3,3,3,3,3,4
"50",50,33,"Femenino",201,3,6,4.3,4.7,2,NA,4,1,4,2,4,1,4,1,4,1,3,4
"51",51,22,"Masculino",201,NA,NA,NA,3,NA,NA,4,2,3,3,3,3,4,2,4,1,3,3
"52",52,29,"Masculino",302,4.8,4.7,4,4.7,0,NA,5,1,4,3,4,1,4,1,4,1,2,1
"53",53,20,"Femenino",201,4.5,4.8,5.4,5.9,6.1,NA,5,1,5,2,4,1,4,1,5,1,4,2
"54",54,20,"Femenino",201,1.6,6,5.5,5.5,6,NA,3,2,3,2,3,2,4,3,4,3,3,3
"55",55,20,"Femenino",201,3.6,3.7,2.9,4.1,5,NA,5,1,3,4,4,2,4,2,3,1,3,4
"56",56,20,"Femenino",201,4.1,5.3,4,6,4,NA,3,2,3,2,3,2,3,2,3,2,3,3
"57",57,24,"Masculino",201,1.8,5.6,3.8,2.8,4.3,NA,3,2,4,1,3,3,3,2,2,2,3,3
"58",58,20,"Femenino",201,2,2.8,3.4,3.7,1.8,NA,3,3,4,5,2,3,3,3,3,3,3,3
"59",59,22,"Femenino",302,5,4.4,5,5.3,NA,NA,3,2,3,3,2,2,2,2,3,2,3,4
"60",60,19,"Femenino",201,2.3,4,5.5,4.2,4,NA,3,3,3,5,3,2,3,3,3,4,2,5
"61",61,20,"Femenino",101,4.1,1.2,4.7,4,3.3,NA,3,1,3,3,3,1,3,3,3,1,3,3
"62",62,18,"Femenino",101,3.4,2,5.3,4.5,3,NA,2,4,4,5,3,4,3,5,3,4,2,3
"63",63,18,"Femenino",101,NA,NA,NA,NA,NA,NA,4,2,3,4,4,2,3,1,4,1,4,2
"64",64,23,"Femenino",101,5.9,5.8,2.2,6,NA,NA,4,1,3,4,4,2,3,3,3,2,2,4
"65",65,19,"Femenino",101,4,6.1,3.1,6.8,2,NA,4,1,3,3,3,1,2,3,3,2,3,3
"66",66,20,"Masculino",101,1,NA,NA,1,NA,NA,5,1,4,3,4,1,4,1,4,2,3,2
"67",67,18,"Femenino",101,5.9,4,5.3,5.8,2.5,NA,5,1,4,1,4,1,5,1,4,1,4,2
"68",68,19,"Masculino",101,6,5.8,5.4,5.3,6.1,NA,5,2,4,2,4,1,4,1,4,1,4,3
"69",69,24,"Femenino",101,NA,NA,NA,NA,NA,NA,4,1,3,4,3,1,5,3,4,1,3,4
"70",70,19,"Femenino",101,4.2,4.6,4.9,5.9,6,NA,5,1,4,4,4,1,4,1,4,1,4,2
"71",71,19,"Femenino",101,5.2,3.5,6,5.3,4.9,NA,4,1,4,2,4,1,5,1,4,1,4,4
"72",72,18,"Masculino",101,2.6,6,3.9,6.5,3.9,NA,5,1,4,2,3,1,3,1,4,1,5,2
"73",73,18,"Femenino",101,6.5,6.7,7,6.9,6.9,NA,4,2,4,3,3,3,4,2,4,2,2,4
"74",74,18,"Femenino",101,4.8,2.5,3.9,4.2,3.6,NA,5,1,4,3,4,1,4,3,4,1,4,3
"75",75,18,"Femenino",101,5.9,5.8,2.5,5.3,4,NA,5,1,4,1,4,1,4,1,4,1,3,2
"76",76,19,"Masculino",101,6.3,2.7,5,5.5,4.8,NA,4,2,3,4,4,2,4,2,2,2,4,3
"77",77,18,"Femenino",101,1.8,6,4.5,3.6,7,NA,3,2,3,5,2,2,3,4,2,4,2,5
"78",78,19,"Femenino",101,6.3,6.5,5.3,7,7,NA,4,2,3,4,3,2,3,2,3,3,2,3
"79",79,18,"Masculino",101,6.1,3.3,4.7,5,7,NA,4,1,3,3,2,1,3,1,2,3,2,3
"80",80,18,"Femenino",101,3,1.4,6,4.7,3.7,NA,4,1,3,2,3,1,3,1,3,1,2,3
"81",81,18,"Masculino",101,NA,NA,NA,NA,1,NA,4,1,4,2,4,1,4,1,5,1,5,4
"82",82,19,"Femenino",101,6.1,4.5,5.7,1.8,7,NA,4,1,3,2,3,2,3,1,4,1,5,4
"83",83,18,"Masculino",101,7,6,7,5.2,5.3,NA,3,1,1,2,3,1,4,3,3,3,3,5
"84",84,19,"Femenino",101,1.6,6.5,4.7,5.4,4.6,NA,4,1,2,4,4,1,4,1,4,1,3,4
"85",85,18,"Femenino",101,5.1,7,4,4.5,5,NA,3,1,3,3,3,1,4,1,4,3,2,3
"86",86,21,"Femenino",101,4.3,3.9,6,6.2,6.5,NA,5,1,5,2,4,1,4,1,5,1,4,1
"87",87,19,"Femenino",101,5.4,6.3,4.8,5.6,2.8,NA,4,1,3,1,3,1,3,2,3,1,3,3
"88",88,19,"Femenino",101,5.2,5.2,5,7,3.6,NA,4,2,4,4,4,3,4,3,4,2,4,4
"89",89,19,"Masculino",101,2.5,5.5,3.3,4.7,7,NA,4,1,4,2,4,1,3,1,4,1,4,2
"90",90,19,"Femenino",101,3.7,4.7,4.5,2.5,3.2,NA,5,1,3,4,4,1,5,1,3,3,3,3
"91",91,19,"Masculino",101,3.9,4,5.7,5.7,5.7,NA,4,1,4,2,4,1,3,1,3,1,3,1
"92",92,19,"Masculino",101,3.8,4.3,5.5,NA,NA,NA,2,1,4,3,4,2,4,2,4,1,3,2
"93",93,20,"Femenino",101,4.2,3.2,4.8,5.5,6,NA,3,2,1,4,2,2,4,2,3,5,3,4
"94",94,19,"Femenino",101,3.8,3.7,3.6,1.9,5.9,NA,4,3,3,4,3,2,2,2,3,3,2,4
"95",95,22,"Femenino",101,6,4.8,6,6.3,7,NA,3,3,3,1,3,1,3,1,3,1,4,3
"96",96,18,"Femenino",101,3.7,4.7,4.2,6.5,1.5,NA,5,1,3,1,3,1,1,1,5,2,2,4
"97",97,25,"Femenino",101,4.5,5.3,6.2,6.3,3.6,NA,4,1,4,1,4,1,4,1,4,1,3,3
"98",98,18,"Masculino",101,4.7,4.2,5.5,5.2,5.5,NA,4,1,4,3,4,1,5,1,5,1,4,2
"99",99,19,"Masculino",101,1.3,3.7,5,3.9,2.5,NA,4,2,3,3,4,2,3,2,5,1,4,5
"100",100,21,"Masculino",101,5.4,4.1,4.3,1.54,6.3,NA,4,2,4,2,5,1,4,1,4,1,4,2
"101",101,18,"Masculino",101,4.9,3.7,3.2,6.5,3.1,NA,4,3,3,3,4,2,4,2,4,3,3,3
"102",102,19,"Femenino",101,4.7,4.5,5.2,7,2.3,NA,4,1,4,3,3,1,4,1,5,2,4,2
"103",103,20,"Femenino",101,6.5,2.6,3.9,4,5.7,NA,4,2,4,4,3,1,4,2,4,1,4,4
"104",104,21,"Femenino",101,2.7,3.9,4,4.4,5.5,NA,3,1,3,1,3,1,3,1,3,1,3,5
"105",105,19,"Masculino",101,3.4,3.7,4.3,3,6,NA,3,2,2,3,2,2,3,3,3,2,2,3
"106",106,19,"Masculino",101,5.8,5.5,3,5.6,4.5,NA,4,1,4,4,4,1,5,2,4,2,3,3
"107",107,18,"Masculino",102,3.4,2.5,5.2,2.4,5.5,NA,3,1,2,2,3,1,2,4,3,1,2,5
"108",108,19,"Femenino",101,2.2,4,4.7,6.1,5.5,NA,4,1,4,3,4,1,5,1,5,1,4,3
"109",109,20,"Femenino",101,3.4,5.8,1.4,3.7,7,NA,3,1,4,4,4,1,4,1,2,3,4,3
"110",110,18,"Femenino",101,6.1,4.6,6.3,5,7,NA,5,1,3,2,3,1,4,1,3,1,2,4
"111",111,18,"Masculino",101,6.3,4.7,3.9,5.4,5.7,NA,5,1,4,1,3,1,3,1,4,1,3,5
"112",112,18,"Masculino",101,NA,NA,NA,NA,NA,NA,4,3,3,5,3,3,3,3,2,2,2,4
"113",113,24,"Femenino",101,1.22,2.38,3.37,4.7,5.7,NA,2,3,3,2,3,3,3,2,3,3,2,4
"114",114,22,"Masculino",101,5.7,4.3,6.5,5.7,4.3,NA,5,1,4,2,5,1,4,1,5,1,4,2
"115",115,24,"Masculino",101,6.6,5.6,6,7,7,NA,4,1,4,2,4,2,4,1,4,2,3,4
"116",116,19,"Masculino",101,4,2.5,5.8,5.9,4.7,NA,4,3,4,4,3,2,3,2,4,4,2,4
"117",117,21,"Femenino",101,3.1,1.3,6.5,NA,NA,NA,3,1,3,2,3,2,3,3,3,2,3,4
"118",118,18,"Masculino",101,4.3,3,4.6,3.4,5.4,NA,4,5,2,5,2,5,4,3,3,3,2,5
"119",119,22,"Femenino",201,5.2,4,5.6,4,NA,NA,4,2,4,4,4,1,4,1,3,1,4,4
"120",120,21,"Femenino",102,5.1,4.1,5.4,5,4.6,NA,3,2,3,2,3,1,3,2,4,2,4,2
"121",121,20,"Femenino",102,6.8,4.9,4,4.8,4.8,NA,4,1,3,3,4,1,3,1,5,1,3,3
"122",122,19,"Femenino",202,4.4,4.8,4,4.4,6.7,NA,4,1,3,5,3,1,4,1,4,3,3,5
"123",123,20,"Masculino",202,4.3,5,4.3,4.4,5.2,NA,4,2,3,4,3,2,3,3,4,1,2,2
"124",124,20,"Femenino",302,NA,NA,NA,NA,NA,NA,2,1,2,1,2,1,1,1,3,1,3,2
"125",125,20,"Femenino",302,4.8,4.5,4.8,6,5.8,NA,4,1,4,3,3,2,3,3,3,1,4,3
"126",126,21,"Femenino",302,5.2,4.9,5.2,5.4,5.4,NA,3,2,3,1,3,1,4,2,2,1,4,2
"127",127,21,"Femenino",302,4.6,4.6,5.3,6,5.6,NA,3,2,2,2,2,2,2,2,3,2,3,3
"128",128,20,"Femenino",302,4.3,4.2,5.2,4.6,6.2,NA,2,1,3,2,2,2,2,2,2,1,2,3
"129",129,23,"Femenino",302,4.8,4,4.9,5.8,5.7,NA,4,1,4,2,3,2,3,3,3,3,4,3
"130",130,20,"Masculino",302,5.3,4.5,5,5.8,6,NA,3,3,2,4,3,2,3,2,2,2,2,4
"131",131,20,"Femenino",302,5.4,5,6.1,5.9,5.3,NA,4,1,3,1,3,2,2,4,4,1,5,4
"132",132,20,"Masculino",302,4.1,4.4,4.4,5.4,5.9,NA,3,2,3,3,3,2,3,3,3,1,3,3
"133",133,20,"Femenino",301,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,3,2,3,1,3,4
"134",134,20,"Femenino",202,NA,NA,NA,NA,NA,NA,4,4,3,2,5,1,4,3,3,1,3,4
"135",135,23,"Femenino",202,5.4,7,4.9,4.9,5,NA,4,2,4,4,4,2,3,2,4,2,4,3
"136",136,24,"Femenino",302,5.4,4.5,5.3,6.5,6.2,NA,4,1,2,2,2,1,2,3,3,1,3,5
"137",137,21,"Femenino",202,4.2,4.6,4.1,4.7,4.5,NA,4,1,4,2,4,1,3,2,3,1,3,3
